date_receipt,cpp_wtd_med,pop_ww,flow_wtd_med,temp_ww_wtd_med,n_samples,tests,population,incidence,new_tests_per_thousand,variant,p_delta,p_omicron
2021-12-06,2298.3651226158054,14254984,6131,-1.4006290285004273,543,1422860,5873420,824.9367489469508,242.25408705660416,delta,0.89,0.11
2021-12-13,2551.4224181802615,14021647,6414,-1.3006290285004258,533,1551220,5873420,1290.730102734012,264.1084751303329,delta,0.52,0.48
2021-12-20,3029.8318054154506,8881781,4678,-1.4006290285004273,355,1295688,5873420,1360.5020584259257,220.601966145789,omicron,0.27,0.73
2021-12-27,4251.343521094802,8888444,4802,-2.1006290285004265,324,1141891,5873420,2151.557354999302,194.41671121765515,omicron,0.09,0.91
2022-01-03,8731.071033880346,12677745,7618.772301716457,-2.6006290285004265,498,1316818,5873420,2326.8385370022916,224.19952940535498,omicron,0.04,0.96
2022-01-10,10274.670601056938,13719536,6124,-2.6006290285004265,536,1380139,5873420,3121.8778837542695,234.98047134378265,omicron,0.01,0.99
2022-01-17,19974.13071458043,13525917,4644,-2.700629028500426,534,1583803,5873420,4853.833030840635,269.65600961620316,omicron,0,1
2022-01-24,26097.67382020562,14117026,4809,-2.500629028500427,543,1340437,5873420,5077.46764236169,228.2208662074226,omicron,0,1
2022-01-31,28392.789246865188,13194218,6652.820297739834,-2.700629028500426,547,1117719,5873420,5035.822399896483,190.301221434871,omicron,0,1
2022-02-07,46038.89613891941,13539265,6803,-3.000629028500427,520,1051882,5873420,5370.022916801455,179.09190897296634,omicron,0,1
2022-02-14,37712.406222483485,12671981,7547,-3.200629028500426,497,788569,5873420,4064.173854415315,134.2606181747602,omicron,0,1
2022-02-21,26012.797592238636,6046688,10038,-3.8006290285004267,299,560143,5873420,2584.712143861668,95.36913757231733,omicron,0,1
2022-02-28,25274.138619571193,13968179,6852,-3.1006290285004265,528,426711,5873420,1880.6759945653469,72.65119810944901,omicron,0,1
2022-03-07,20336.400830808318,14058669,5090,-3.000629028500427,539,348106,5873420,1368.3680036503433,59.26802442188708,omicron,0,1
2022-03-14,19134.3028470699,14042581,4707,-2.6006290285004265,547,239430,5873420,864.9815609985325,40.765005737713295,omicron,0,1
2022-03-21,16917.388599452992,13303988,4176.815913771574,-2.200629028500426,538,183386,5873420,599.5314484576278,31.22303530140872,omicron,0,1
2022-03-28,10375.305107129721,12601697,3820,-2.000629028500427,526,139274,5873420,387.3552376639164,23.71258993908149,omicron,0,1
2022-04-04,6531.619990473002,11882120,6680,-2.700629028500426,490,118842,5873420,302.2089344879133,20.233867150654984,omicron,0,1
2022-04-11,7498.952876069387,9236613,4190,-2.1006290285004265,346,78550,5873420,216.00702827313557,13.373809467056672,omicron,0,1
2022-04-18,5555.270536167272,9648641,3914.927731407257,-0.9006290285004273,358,80035,5873420,187.8292374800372,13.626643420698674,omicron,0,1
2022-04-25,2575.649278550149,13546924,3827.897075303369,-0.30062902850042583,503,66949,5873420,119.50447950257262,11.398639974665528,omicron,0,1
2022-05-02,1613.4080411069613,13893272,3556,0.2993709714995738,520,55711,5873420,98.59672899264822,9.485274337609093,omicron,0,1
2022-05-09,1486.6107151574636,9083754,4168,1.020877683926111,340,47635,5873420,80.60039976708629,8.110266250327747,omicron,0,1
2022-05-16,1356.3592935215927,14000556,3537.0190568377325,1.5993709714995727,532,43677,5873420,68.98876634056478,7.4363828910583605,omicron,0,1
2022-05-23,1296.0774794795668,9141199,4356,2.199370971499574,342,34419,5873420,54.90838387174763,5.860129192191262,omicron,0,1
2022-05-30,1200.6991200089537,13674831,4274.57719372222,2.199370971499574,480,33865,5873420,63.54049259205029,5.765805952920105,omicron,0,1
2022-06-06,1754.8886445847943,9093524,4900,2.8993709714995735,340,37640,5873420,97.18358298912729,6.408531996690173,omicron,0,1
2022-06-13,3568.425421749852,12385064,3400,3.3993709714995735,497,46181,5873420,138.55641176690924,7.86271031187962,omicron,0,1
2022-06-20,4891.897555174977,13788718,3728,3.699370971499574,515,51994,5873420,175.638724967736,8.852423290008206,omicron,0,1
2022-06-27,NA,NA,NA,NA,NA,63649,5873420,222.66413775960174,10.83678674434997,omicron,0,1
2022-07-04,NA,NA,NA,NA,NA,70055,5873420,271.11972241045254,11.927463045380716,omicron,0,1
2022-07-11,NA,NA,NA,NA,NA,70366,5873420,262.9302859322167,11.980413455874091,omicron,0,1
2022-07-18,NA,NA,NA,NA,NA,63278,5873420,225.2520677901461,10.77362082057813,omicron,0,1
2022-07-25,NA,NA,NA,NA,NA,53732,5873420,181.5466968137814,9.148332657974398,omicron,0,1
2022-08-01,NA,NA,NA,NA,NA,47464,5873420,175.04282002649222,8.081152037484124,omicron,0,1
2022-08-08,NA,NA,NA,NA,NA,49755,5873420,205.80854085013502,8.471214386166832,omicron,0,1
2022-08-15,NA,NA,NA,NA,NA,52219,5873420,149.6402436740434,8.89073146480245,omicron,0,1
2022-08-22,NA,NA,NA,NA,NA,45681,5873420,108.21633732986913,7.7775810345590815,omicron,0,1
2022-08-29,NA,NA,NA,NA,NA,42728,5873420,83.40966591866407,7.274807522703979,omicron,0,1
